Score, Title, Reviews Count, Link, Release Date
63.51,63.51,Dragon Slayer: The Legend of Heroes,6,https://segaretro.org/Dragon_Slayer:_The_Legend_of_Heroes,1994-09-16
61.56,61.56,Dragon Slayer: The Legend of Heroes II,5,https://segaretro.org/Dragon_Slayer:_The_Legend_of_Heroes_II,1995-01-20
76.08,76.08,Dragon: The Bruce Lee Story,28,https://segaretro.org/Dragon:_The_Bruce_Lee_Story,1994-10-01
60.60,60.60,Dragon's Eye Plus: Shanghai III,9,https://segaretro.org/Dragon%27s_Eye_Plus:_Shanghai_III,1991-11-02
83.29,83.29,Dragon's Fury,44,https://segaretro.org/Dragon%27s_Fury,1991-10-10
73.88,73.88,Dragon's Revenge,29,https://segaretro.org/Dragon%27s_Revenge,1993-11-01
72.67,72.67,Duke Nukem 3D,3,https://segaretro.org/Duke_Nukem_3D_(Mega_Drive),
87.89,87.89,Dune II: Battle for Arrakis,40,https://segaretro.org/Dune_II:_Battle_for_Arrakis,1994-05-01
73.07,73.07,Dungeon Master II: Skullkeep,1,https://segaretro.org/Dungeon_Master_II:_Skullkeep,
73.98,73.98,Dungeons & Dragons: Warriors of the Eternal Sun,30,https://segaretro.org/Dungeons_%26_Dragons:_Warriors_of_the_Eternal_Sun,1992-08-01
71.78,71.78,Dyna Brothers,7,https://segaretro.org/Dyna_Brothers,1992-07-24
70.06,70.06,Dyna Brothers 2,6,https://segaretro.org/Dyna_Brothers_2,1993-12-03
65.56,65.56,Dynamite Duke,29,https://segaretro.org/Dynamite_Duke,1990-10-27
82.88,82.88,Dynamite Headdy,36,https://segaretro.org/Dynamite_Headdy,1994-08-05
87.16,87.16,EA Hockey,40,https://segaretro.org/EA_Hockey,1991-08-01
60.17,60.17,Earnest Evans,9,https://segaretro.org/Earnest_Evans,1992-03-01
39.33,39.33,Earth Defense,3,https://segaretro.org/Earth_Defense,1995-06-01
89.48,89.48,Earthworm Jim,44,https://segaretro.org/Earthworm_Jim,
89.36,89.36,Earthworm Jim 2,31,https://segaretro.org/Earthworm_Jim_2,1995-11-15
69.10,69.10,Ecco Jr.,8,https://segaretro.org/Ecco_Jr.,1995-04-01
86.50,86.50,Ecco the Dolphin,49,https://segaretro.org/Ecco_the_Dolphin,1992-12-01
76.64,76.64,Ecco: The Tides of Time,33,https://segaretro.org/Ecco:_The_Tides_of_Time,1994-08-26
73.40,73.40,El Viento,24,https://segaretro.org/El_Viento,1991-09-20
72.93,72.93,Elemental Master,27,https://segaretro.org/Elemental_Master,1990-12-14
67.68,67.68,Eliminate Down,6,https://segaretro.org/Eliminate_Down,1993-06-25
60.33,60.33,ESPN Baseball Tonight,3,https://segaretro.org/ESPN_Baseball_Tonight,1994-05-01
60.56,60.56,ESPN National Hockey Night,5,https://segaretro.org/ESPN_National_Hockey_Night,1994-12-01
34.71,34.71,ESPN Speedworld,7,https://segaretro.org/ESPN_Speedworld,1994-12-01
55.17,55.17,ESPN Sunday Night NFL,3,https://segaretro.org/ESPN_Sunday_Night_NFL,1994-12-01
79.27,79.27,ESWAT: City Under Siege,37,https://segaretro.org/ESWAT:_City_Under_Siege,1990-07-14
82.13,82.13,Eternal Champions,42,https://segaretro.org/Eternal_Champions,1993-12-01
71.68,71.68,European Club Soccer,30,https://segaretro.org/European_Club_Soccer,1992-07-01
68.01,68.01,Evander Holyfield's "Real Deal" Boxing,33,https://segaretro.org/Evander_Holyfield%27s_%22Real_Deal%22_Boxing,1992-08-01
75.28,75.28,Ex-Mutants,20,https://segaretro.org/Ex-Mutants,1992-12-01
64.96,64.96,Exile,16,https://segaretro.org/Exile,1991-12-06
40.04,40.04,Exodus: Journey to the Promised Land,1,https://segaretro.org/Exodus:_Journey_to_the_Promised_Land,1993-06-01
51.26,51.26,ExoSquad,18,https://segaretro.org/ExoSquad,1995-07-01
68.21,68.21,F-117 Night Storm,33,https://segaretro.org/F-117_Night_Storm,1993-12-01
72.07,72.07,F-15 Strike Eagle II,29,https://segaretro.org/F-15_Strike_Eagle_II,1993-06-01
78.96,78.96,F-22 Interceptor: Advanced Tactical Fighter,38,https://segaretro.org/F-22_Interceptor:_Advanced_Tactical_Fighter,1991-09-01
86.60,86.60,F1,35,https://segaretro.org/F1,1993-06-01
73.08,73.08,F1 Circus MD,16,https://segaretro.org/F1_Circus_MD,1991-12-20
56.76,56.76,F1: World Championship Edition,4,https://segaretro.org/F1:_World_Championship_Edition_(Mega_Drive),1995-09-01
64.77,64.77,Family Feud,5,https://segaretro.org/Family_Feud,1994-02-01
63.70,63.70,Fantasia,39,https://segaretro.org/Fantasia,1991-08-01
